;ID_ARB;orfeo_no.;URL
1731;56|REGLAMENTO DEL FONDO DE INVERSION FORESTAL2007-; 20218000723922;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800072392200002
1732;56|REGLAMENTO DEL FONDO DE INVERSION FORESTAL2007-; 20218000723922;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800072392200003
1733;61|REGLAMENTO DEL FONDO DE INVERSION FORESTAL2007-; 20218000723922;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800072392200001
1734;61|REGLAMENTO DEL FONDO DE INVERSION FORESTAL2007-; 20218000723922;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800072392200002
1735;61|REGLAMENTO DEL FONDO DE INVERSION FORESTAL2007-; 20218000723922;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800072392200003
1736;179CONTRATOCHAZA2005-1;20154050200802 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2015405020080200001
1737;24503772002-482;20164051091492 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405109149200001
1738;24503772002-482;20164051091492 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405109149200002
1739;24503772002-482;20164051091492 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405109149200003
1740;24503772002-482; 20164051096172 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405109617200001
1741;24503772002-482; 20164051096172 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405109617200001
1742;24503772002-482; 20188001481602;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800148160200001
1743;48538019032014-486;20164051096132 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405109613200001
1744;48538019032014-486; 20164051556332 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405155633200001
1745;48538019032014-486; 20164052138322 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405213832200001
1746;48538019032014-486; 20174050009072;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405000907200001
1747;48538019032014-486; 20174050009072;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405000907200002
1748;48538019032014-486; 20174050009072;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405000907200003
1749;48538019032014-486; 20188000002822;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800000282200001
1750;48538021392014-453;20164051847792 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405184779200001
1751;48538021392014-453;20164051847792 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405184779200002
1752;48538021392014-453;20164051847792 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2016405184779200003
1753;48538021392014-453; 20174050001132;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405000113200001
1754;48538021392014-453; 20174050001132;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405000113200002
1755;48538021392014-453; 20178000122732;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800012273200001
1756;48538021392014-453; 20178000122732;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800012273200002
1757;48538021392014-453;  20174050247012;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405024701200001
1758;48538021392014-453;  20174050247012;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405024701200002
1759;48538021392014-453;  20174050247012;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405024701200003
1760;48538021392014-453; 20178001808682;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800180868200001
1761;3561122-02-092009-;20178000045372;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800004537200001
1762;3561122-02-092009-;20178000045372;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800004537200002
1763;3561122-02-092009-;20178000045372;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800004537200003
1764;3561122-02-092009-;20178000045372;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800004537200004
1765;3561122-02-092009-;20178000045372;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800004537200005
1766;3561122-02-092009-;20178000045372;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017800004537200006
1767;188MA-00337542013-;20174052351682;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405235168200001
1768;188MA-00337542013-;20174052351682;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2017405235168200002
1769;188MA-00337542013-; 20184051138182;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405113818200001
1770;188MA-00337542013-; 20188001143892;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800114389200001
1771;188MA-00337542013-; 20188001143892;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800114389200002
1772;188MA-00337542013-; 20188001143892;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800114389200003
1773;188MA-00337542013-; 20188001143892;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800114389200004
1774;188MA-00337542013-; 20188001143892;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800114389200005
1775;188MA-00337542013-; 20184051122232;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405112223200001
1776;188MA-00337542013-; 20184051122232;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405112223200002
1777;188MA-00337542013-; 20184051122232;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405112223200003
1778;188MA-00337542013-; 20184051796002;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405179600200001
1779;188MA-00337542013-; 20184051796002;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405179600200002
1780;188MA-00337542013-; 20184051796002;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405179600200003
1781;188MA-00337542013-; 20184051796002;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405179600200004
1782;188MA-00337542013-; 20184051796002;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405179600200005
1783;188MA-00337542013-; 20184052108482;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405210848200001
1784;188MA-00337542013-; 20184052108482;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405210848200002
1785;188MA-00337542013-; 20184052108482;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405210848200003
1786;188MA-00337542013-; 20184052108482;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405210848200004
1787;188MA-00337542013-; 20184052108482;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018405210848200005
1788;188MA-00337542013-; 20188002114962;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800211496200001
1789;188MA-00337542013-; 20188002242942;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800224294200001
1790;188MA-00337542013-; 20188002388672;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800238867200001
1791;188MA-00337542013-; 20188002464482 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2018800246448200001
1792;188MA-00337542013-; 20198000024232 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800002423200001
1793;188MA-00337542013-; 20198000134232 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800013423200001
1794;188MA-00337542013-; 20198000310702 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800031070200001
1795;188MA-00337542013-; 20198000337662 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800033766200001
1796;188MA-00337542013-; 20198000376812 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800037681200001
1797;188MA-00337542013-; 20198000491902 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800049190200001
1798;188MA-00337542013-; 20198000491902 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800049190200002
1799;188MA-00337542013-; 20198000491902 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2019800049190200003
